ID,구분,심각도,발견 시나리오,대상,제목,상세,근거,제안 조치
BUG-01,버그,High,S2 아침 계획 / S6 연간 계획,일정상세 §4.5·§6,연간 목표가 백로그에 전부 노출됨 (조건 오염),"백로그 조건이 'due_date·planned_date 없는 미완료 태스크 전체'인데, 연간 TO DO(target_year 지정·마감 없음)도 이 조건을 충족한다. 연간 목표 수십 건이 일별 백로그 패널을 점령해 백로그가 무용지물이 된다",일정관리-상세기획 §4.5 백로그 정의 + §6 tasks.target_year,백로그 필터에 target_year IS NULL 추가. 연간 항목은 '오늘 하기'로 끌어올 때만 planned_date 부여
BUG-02,버그,Medium,S0 문서 교차 검증,SPM-기획서 5.1,프로젝트 타일 배지 조건 '미배정 태스크 누적'은 초안 잔재,1인 도구라 assignee를 명시적으로 제외했는데(기획서 2.2) 런처 타일 배지 조건에 '미배정 태스크'가 남아 있어 판정 자체가 불가능하다,기획서 2.2 제외 목록 vs 5.1 타일 표,배지 조건을 '마감 지난 프로젝트 태스크 존재'로 재정의
BUG-03,버그,Medium,S3 낮 기록,일정상세 §3·§7.1,자정을 넘는 타임로그를 기록할 수 없다,time_logs가 date+start_min/end_min 구조라 23:00~01:00 야간 작업이 표현 불가. 개발자 사용 패턴과 정면 충돌한다,time_logs 스키마 (start_min·end_min은 하루 범위),저장 시 자정 기준 두 행으로 자동 분할하고 UI에서는 하나의 블록처럼 이어서 표시
BUG-04,버그,Medium,S7 프로젝트 생애주기,프로젝트상세 §1·§6.3,종착 상태(completed/dropped)의 역전이 규칙 미정의,실수로 완료 처리했거나 폐기를 되살리는 경우의 규칙이 없다. retrospectives가 project_id unique라 회고가 이미 있으면 재종료 시 충돌한다,프로젝트관리-상세기획 §1 상태 흐름 + §6.3,역전이 허용(완료/폐기→active)하고 project_events에 기록. 회고는 기존 행 유지·수정 가능으로 정의
BUG-05,버그,Medium,S3 캡처,기획서 4.2 / 일정상세 §4.7,인박스 추정 규칙 충돌 — 날짜와 시간 범위 동시 포함,"'내일 14-16 회의'는 시간 범위 규칙(→오늘 타임로그)과 날짜 규칙(→할 일)이 동시에 걸린다. 회의는 event여야 하는데 오늘 타임로그로 오추정된다",자동 추정 규칙 표 2곳의 우선순위 부재,우선순위 정의: 미래 날짜+시간 범위 → 일정(event) / 날짜 없이 시간 범위 → 오늘 타임로그
BUG-06,버그,Low,S0 문서 교차 검증,기획서 7 / 일정상세 §7.2,daily_notes 유니크 제약이 date 단독,'모든 테이블에 user_id' 규칙상 (user_id·date) 복합 유니크가 정확하다. 메인 기획서 축약 표기에는 user_id도 누락돼 있다,기획서 7장 데이터 모델 규칙 2,(user_id·date) 복합 unique로 명시
BUG-07,버그,Low,S1 첫 로그인,화면명세서 §2,런처에서 인박스 미처리 수가 두 곳에 중복 표시,자료수집 타일 서브라인과 하단 인박스 카운트가 같은 숫자를 보여준다,화면명세서 §2 와이어프레임,자료 타일 서브라인을 '아이디어 n건' 등 고유 정보로 교체
ISSUE-01,이슈,High,S3 캡처 / S10 모바일,기획서 4.4 / 자료상세 §2.4,북마클릿 인증 방식 미정의 (v0.2 블로커),javascript: 북마클릿이 POST할 때의 세션 인증·CORS 처리가 스펙에 없다. Supabase RLS 환경에서 익명 POST는 불가능하다,기획서 4.4 수집 경로,전용 캡처 토큰(URL 파라미터) + 서버 라우트 검증 방식을 v0.2 착수 전 확정
ISSUE-02,이슈,High,S10 모바일,일정상세 §3.3 / 화면명세서 §9,모바일 타임로그 입력 방식 미정의,터치에서 슬롯 드래그가 스크롤 제스처와 충돌한다. 데스크톱 입력 UX만 정의되어 있어 모바일에서 핵심 기능(타임로그)을 쓸 방법이 없다,일정상세 §3.3 입력 UX,모바일은 드래그 대신 탭 → 시간 범위 선택 시트 방식으로 별도 정의
ISSUE-03,이슈,High,S10 모바일,화면명세서 §0.3·§9,모바일에서 커맨드 팔레트 진입 수단 부재,⌘K는 키보드 전제라 모바일에 캡처 진입점이 없다. '3초 안에 기록' 철학이 모바일에서 무너진다,기획서 1.4 철학 1 (입력 마찰 최소화),하단 고정 [+] FAB → 캡처 시트. OS 공유 시트와 병행
